path,format,bytes,sha256,origin
02_Logos/SVG/condo-ninja-lockup-vertical-on-light.svg,svg,3043,0a068f8bbc3425e7cfd9ad05bd9493e1e2885129f7c17735149a9a98f134044d,preserved
02_Logos/SVG/condo-ninja-symbol-fullcolor.svg,svg,2881,8c7fcd6449b92ef64c4ea333ff2c88c39cb5d8e67ffd26baa463248dedc9f2fe,preserved
02_Logos/SVG/condo-ninja-symbol-simplified.svg,svg,438,5296af528d71d7bf7c961811ff191a122eab862206eef5c17c673b2e596bd577,preserved
02_Logos/SVG/condo-ninja-wordmark-ink.svg,svg,452,e81cb039b9edf56712505db0ceb07fcfde64e6f94173d0ba5f63d716ba1e9604,preserved
02_Logos/SVG/condo-ninja-wordmark-white.svg,svg,452,ec743f1e99e094ad4d723f2734683548fb04ba5fc9dab48a6d43caaf7c25eecc,preserved
03_Color/brand-tokens.json,json,5416,c8e9bf5e3e65a078ed10fbefdf9de662a684d18cdf16b3b3eb70723917aac4ac,modified
03_Color/contrast-audit.json,json,4305,8553bb7a9bf61ab077deef1b476e5b966a4c02beafe49de888f3edb830f51956,new
03_Color/swatches/condo-ninja-palette.png,png,127281,f569ba43aeabb9edda9d4ffd6de0ae34a8c3bb140613754a9124d5d45b50f80d,preserved
03_Color/swatches/condo-ninja-palette.svg,svg,7695,282a46e8ce42140151ea1d78ec959938db570c02be1e4b75e3e3887fed4b9dba,preserved
03_Color/swatches/condo-ninja.gpl,gpl,584,17a7ca973cc064d81030a398a98786ef8bfb237618f92e76cc0395689d8c723c,preserved
03_Color/variables.css,css,4656,42716d09b912ee14d3a403e7563741a7cf526f83fbe00bc6095ce7e08d34e843,modified
04_Typography/FONT-LICENSES.txt,txt,418,bb8242605a6b52cbcda36885a0c554aaff2030b65450a842cfcd16722edd90ac,preserved
04_Typography/OFL-Geist.txt,txt,4152,bbadb147c16a859e2ed6e8e5ac5ac38d12c08ee056c32eff12574dfa8b047bbf,new
04_Typography/OFL-GeistMono.txt,txt,4156,c972bfe1d29533f55dfa5d9912b55189838074a5b18e9fda3e9a0231552f505a,new
04_Typography/OFL-Goldman.txt,txt,4154,d417195e003dcba99f560b52830d02a218408454d0922271394d22f4ce09e6f5,new
04_Typography/fonts/Geist-Medium.ttf,ttf,72996,a8eefb873ba9c9020665f8a98302697ce1f3b79ab2deef6ee508c0ca6a82e876,preserved
